PV_scaling_factor,bat_system_kWh,total_net_savings
6,18,2071889.898135936
6,19,2084288.8840373652
6,20,2101647.973996422
6,21,2118197.1798009686
6,22,2131632.4619616596
6,23,2145178.0386453727
6,24,2156751.2013387894
6,25,2171499.0987643697
6,26,2188235.5703290575
6,27,2199329.760536183
6,28,2214131.2141923984
6,29,2213815.2140321373
7,0,1861595.269463458
7,1,1878730.8698920636
7,2,1895638.0840460807
7,3,1913170.200456113
7,4,1926994.1133517583
7,5,1943180.7663303846
7,6,1959494.7509929468
7,7,1975182.6692461201
7,8,1990026.7327011514
7,9,2006970.2608031733
7,10,2022001.8498649516
7,11,2035114.0406301224
7,12,2046290.5824162755
7,13,2060565.982927657
7,14,2073395.228197235
7,15,2086950.123956046
7,16,2097482.514445449
7,17,2109882.4122342467
7,18,2119878.387272521
7,19,2139034.3929541833
7,20,2153676.175005479
7,21,2166713.5437981556
7,22,2179603.750877804
7,23,2189798.3878444624
7,24,2199001.8572659926
7,25,2207676.944843454
7,26,2216331.6489574225
7,27,2231338.4186262474
7,28,2244211.2257946418
7,29,2255576.405951469
8,0,1890216.6836847793
8,1,1906620.095057845
8,2,1922420.5339499167
8,3,1937993.2378924182
8,4,1953898.6432745364
8,5,1969577.1199776083
8,6,1984669.3420741009
8,7,1998310.7720958497
8,8,2013943.5174785322
8,9,2029985.0079435203
8,10,2045584.0792107931
8,11,2060001.838517827
8,12,2074013.296516262
8,13,2086732.0485345358
8,14,2102027.1221096246
8,15,2113723.0735462555
8,16,2126067.697785299
8,17,2138220.929511413
8,18,2152250.580767194
8,19,2166855.57393632
8,20,2177741.6723234253
8,21,2193544.2053852463
8,22,2205651.773762159
8,23,2218003.2145670466
8,24,2226856.5099132643
8,25,2241132.0431576553
8,26,2252503.1807589135
8,27,2255658.580261492
8,28,2270652.5965593755
8,29,2283689.844158541
9,0,1898277.007967989
9,1,1913721.251154867
9,2,1928630.549434795
9,3,1943774.5432913958
9,4,1958682.3988052316
9,5,1974427.130117365
9,6,1988977.1139020845
9,7,2003259.2627009863
9,8,2018352.747441672
9,9,2032887.7363227983
9,10,2047324.1901815878
9,11,2063135.0127085669
9,12,2077673.9016543385
9,13,2091290.9033280986
9,14,2106996.380480078
9,15,2120195.7728602877
9,16,2132228.865264836
9,17,2146520.57882688
9,18,2159597.0346694672
9,19,2175023.3276461335
9,20,2188450.299643861
9,21,2199735.051458637
9,22,2214727.4671455803
9,23,2227211.4328726656
9,24,2236613.0360791157
9,25,2245059.4446854135
9,26,2257640.336068829
9,27,2270959.962991648
9,28,2282065.4597443487
9,29,2295919.2151381257
10,0,1891508.1534049008
10,1,1907046.1271560055
10,2,1922283.9960484207
10,3,1937179.43804341
10,4,1951847.3703936974
10,5,1966404.829920682
10,6,1980975.1417380364
10,7,1995948.9728835875
10,8,2010652.2236203656
10,9,2025746.5836332694
10,10,2045848.0849512082
10,11,2059939.3357019303
10,12,2074197.5204511129
10,13,2086764.7206911203
10,14,2100016.512744904
10,15,2115491.6879075677
10,16,2129672.429001076
10,17,2138753.458380829
10,18,2149880.9197679018
10,19,2162207.0609531547
10,20,2175948.797621906
10,21,2188163.9353567786
10,22,2200511.801230124
10,23,2214850.574711025
10,24,2226549.388235107
10,25,2240043.93549678
10,26,2250924.865295833
10,27,2264250.4334558877
10,28,2278852.5083838105
10,29,2290314.1748474627
11,0,1875757.5431436694
11,1,1891062.9603939012
11,2,1905952.4864776155
11,3,1920441.9157498423
11,4,1934552.0444608151
11,5,1949245.3606222405
11,6,1962850.611476351
11,7,1975183.840032171
11,8,1990287.489174118
11,9,2003606.2620807162
11,10,2017641.477531141
11,11,2031645.4674985912
11,12,2044200.6792191067
11,13,2058517.2808937542
11,14,2073503.8966835733
11,15,2086277.9597326545
11,16,2099978.7802869035
11,17,2115099.4019559193
11,18,2129878.6127879475
11,19,2144004.7757855128
11,20,2155913.433660627
11,21,2167758.4100859948
11,22,2177061.1121528293
11,23,2189278.908673724
11,24,2200664.0161893517
11,25,2212395.1137952255
11,26,2226626.2134882426
11,27,2241237.472294439
11,28,2258818.2145675803
11,29,2270670.3945555417
12,0,1852036.920852149
12,1,1866850.0029633846
12,2,1881331.7424217006
12,3,1895869.7077210434
12,4,1910462.986515199
12,5,1924896.9403578145
12,6,1939260.367891333
12,7,1952344.9998215262
12,8,1965273.1278953794
12,9,1979452.3376666112
12,10,1992496.5639775107
12,11,2006134.54212478
12,12,2019974.3090522918
12,13,2036246.148458992
12,14,2049160.8383545782
12,15,2060351.5762269069
12,16,2073242.956002245
12,17,2086762.1194467552
12,18,2099996.660804947
12,19,2112350.454102882
12,20,2124185.375994741
12,21,2141053.6266723787
12,22,2155469.554283714
12,23,2167171.862807456
12,24,2176179.949542612
12,25,2188544.097458504
12,26,2200507.7054167874
12,27,2213640.377644277
12,28,2222282.0526475674
12,29,2233228.858370604
13,0,1821640.7182440327
13,1,1836447.8006350086
13,2,1850729.1979387365
13,3,1864238.0817896684
