Timestamp,Production (kW)
02/18 19,0.00
02/18 20,0.00
02/18 21,0.00
02/18 22,0.00
02/18 23,0.00
02/19 00,0.00
02/19 01,0.00
02/19 02,0.00
02/19 03,0.00
02/19 04,0.00
02/19 05,1.25
02/19 06,9.65
02/19 07,27.13
02/19 08,45.62
02/19 09,59.26
02/19 10,67.51
02/19 11,72.77
02/19 12,73.55
02/19 13,66.53
02/19 14,53.18
02/19 15,37.74
02/19 16,21.08
02/19 17,6.40
02/19 18,0.53
02/19 19,0.00
02/19 20,0.00
02/19 21,0.00
02/19 22,0.00
02/19 23,0.00
02/20 00,0.00
02/20 01,0.00
02/20 02,0.00
02/20 03,0.00
02/20 04,0.00
02/20 05,1.04
02/20 06,11.01
02/20 07,31.80
02/20 08,53.06
02/20 09,68.69
02/20 10,77.96
02/20 11,81.40
02/20 12,80.02
02/20 13,74.07
02/20 14,62.43
02/20 15,44.85
02/20 16,23.37
02/20 17,6.62
02/20 18,0.62
02/20 19,0.00
02/20 20,0.00
02/20 21,0.00
02/20 22,0.00
02/20 23,0.00
02/21 00,0.00
02/21 01,0.00
02/21 02,0.00
02/21 03,0.00
02/21 04,0.00
02/21 05,1.03
02/21 06,11.33
02/21 07,33.94
02/21 08,57.35
02/21 09,73.13
02/21 10,61.80
02/21 11,44.42
02/21 12,41.67
02/21 13,34.60
02/21 14,27.15
02/21 15,19.95
02/21 16,11.18
02/21 17,3.17
02/21 18,0.00
02/21 19,0.00
02/21 20,0.00
02/21 21,0.00
02/21 22,0.00
02/21 23,0.00
02/22 00,0.00
02/22 01,0.00
02/22 02,0.00
02/22 03,0.00
02/22 04,0.00
02/22 05,1.26
02/22 06,6.16
02/22 07,8.55
02/22 08,7.55
02/22 09,14.23
02/22 10,32.50
02/22 11,50.14
02/22 12,53.43
02/22 13,44.85
02/22 14,34.55
02/22 15,22.97
02/22 16,8.33
02/22 17,0.65
02/22 18,0.00
02/22 19,0.00
02/22 20,0.00
02/22 21,0.00
02/22 22,0.00
02/22 23,0.00
02/23 00,0.00
02/23 01,0.00
02/23 02,0.00
02/23 03,0.00
02/23 04,0.00
02/23 05,0.38
02/23 06,3.58
02/23 07,14.37
02/23 08,30.58
02/23 09,34.03
02/23 10,41.86
02/23 11,37.41
02/23 12,23.50
02/23 13,24.33
02/23 14,23.48
02/23 15,17.87
02/23 16,5.69
02/23 17,1.28
02/23 18,0.00
02/23 19,0.00
02/23 20,0.00
02/23 21,0.00
02/23 22,0.00
02/23 23,0.00
02/24 00,0.00
02/24 01,0.00
02/24 02,0.00
02/24 03,0.00
02/24 04,0.00
02/24 05,1.14
02/24 06,11.30
02/24 07,32.26
02/24 08,53.51
02/24 09,68.82
02/24 10,77.89
02/24 11,81.49
02/24 12,80.04
02/24 13,73.78
02/24 14,62.16
02/24 15,44.68
02/24 16,23.15
02/24 17,5.93
02/24 18,0.00
02/24 19,0.00
02/24 20,0.00
02/24 21,0.00
02/24 22,0.00
02/24 23,0.00
02/25 00,0.00
02/25 01,0.00
02/25 02,0.00
02/25 03,0.00
02/25 04,0.00
02/25 05,1.42
02/25 06,6.12
02/25 07,6.45
02/25 08,5.39
02/25 09,27.16
02/25 10,43.80
02/25 11,36.50
02/25 12,40.82
02/25 13,48.01
02/25 14,33.90
02/25 15,23.12
