Timestamp,Production (kW),Load kW,Load kVA
01/12 01,0.0,221.5,237.9
01/12 02,0.0,216.3,232.3
01/12 03,0.0,211.2,226.9
01/12 04,0.0,210.9,226.5
01/12 05,2.2,215.9,231.9
01/12 06,9.52,222.0,238.4
01/12 07,22.88,217.1,233.2
01/12 08,38.83,231.7,248.9
01/12 09,46.25,234.6,252.0
01/12 10,43.45,241.1,258.9
01/12 11,40.0,238.9,256.6
01/12 12,41.91,253.7,272.5
01/12 13,39.77,250.2,268.7
01/12 14,34.5,244.1,262.2
01/12 15,28.96,235.5,253.0
01/12 16,16.68,233.3,250.6
01/12 17,6.19,240.8,261.3
01/12 18,1.15,255.4,308.2
01/12 19,0.0,288.4,340.5
01/12 20,0.0,266.3,286.0
01/12 21,0.0,255.7,292.2
01/12 22,0.0,243.8,267.2
01/12 23,0.0,232.1,277.0
01/13 00,0.0,220.9,237.3
01/13 01,0.0,219.5,235.8
01/13 02,0.0,221.0,237.4
01/13 03,0.0,218.6,234.8
01/13 04,0.0,215.5,231.5
01/13 05,1.01,230.3,247.3
01/13 06,4.28,254.1,272.9
01/13 07,8.49,239.5,257.2
01/13 08,12.8,243.6,261.6
01/13 09,16.5,268.8,288.7
01/13 10,17.03,272.0,292.1
01/13 11,17.42,275.2,295.6
01/13 12,20.18,286.5,307.7
01/13 13,19.59,281.0,301.9
01/13 14,16.07,269.2,289.2
01/13 15,12.28,261.1,295.2
01/13 16,7.27,252.7,288.8
01/13 17,2.86,250.4,269.0
01/13 18,0.4,261.8,281.2
01/13 19,0.0,298.5,320.6
01/13 20,0.0,283.3,313.7
01/13 21,0.0,267.8,312.7
01/13 22,0.0,256.3,309.3
01/13 23,0.0,243.2,261.3
01/14 00,0.0,235.1,252.5
01/14 01,0.0,230.2,247.3
01/14 02,0.0,226.6,243.4
01/14 03,0.0,224.2,240.8
01/14 04,0.0,220.3,236.6
01/14 05,1.97,241.8,259.8
01/14 06,12.78,259.8,279.1
01/14 07,33.77,248.6,267.0
01/14 08,55.32,256.5,275.5
01/14 09,71.02,280.9,301.7
01/14 10,57.27,267.5,287.3
01/14 11,32.65,273.9,294.2
01/14 12,30.03,283.7,304.7
01/14 13,26.79,285.8,306.9
01/14 14,22.17,272.4,292.6
01/14 15,17.38,274.7,343.1
01/14 16,9.03,262.0,302.6
01/14 17,2.87,256.9,287.4
01/14 18,0.0,277.5,298.1
01/14 19,0.0,319.7,357.6
01/14 20,0.0,294.7,316.5
01/14 21,0.0,265.7,285.4
01/14 22,0.0,255.0,273.8
01/14 23,0.0,244.3,262.4
01/15 00,0.0,233.4,250.7
01/15 01,0.0,223.5,240.1
01/15 02,0.0,228.9,245.8
01/15 03,0.0,230.6,247.7
01/15 04,0.0,226.7,243.5
01/15 05,0.63,246.4,264.6
01/15 06,2.66,266.3,286.0
01/15 07,5.85,255.8,274.7
01/15 08,9.45,266.5,286.2
01/15 09,11.8,280.5,301.3
01/15 10,12.01,271.2,291.3
01/15 11,11.6,274.1,294.5
01/15 12,11.2,284.6,305.7
01/15 13,10.84,293.8,315.6
01/15 14,10.17,276.9,297.4
01/15 15,7.85,267.6,319.4
01/15 16,4.55,260.9,298.1
01/15 17,1.36,265.7,335.7
01/15 18,0.0,271.1,291.2
01/15 19,0.0,307.7,384.3
01/15 20,0.0,290.2,354.3
01/15 21,0.0,274.9,295.3
01/15 22,0.0,266.9,286.7
01/15 23,0.0,246.4,264.7
01/16 00,0.0,235.7,253.2
01/16 01,0.0,233.1,250.4
01/16 02,0.0,229.0,246.0
01/16 03,0.0,229.0,246.0
01/16 04,0.0,227.4,244.2
01/16 05,2.08,247.0,265.3
01/16 06,11.27,263.1,282.7
01/16 07,26.62,250.5,269.1
01/16 08,42.43,259.6,278.8
01/16 09,56.74,280.4,301.2
01/16 10,65.25,290.5,312.0
01/16 11,65.44,302.6,325.1
01/16 12,64.51,304.1,326.7
01/16 13,62.55,301.2,323.5
01/16 14,51.85,292.4,314.1
01/16 15,35.18,290.8,322.0
01/16 16,17.83,277.5,320.5
01/16 17,5.4,272.8,293.0
01/16 18,0.9,270.7,290.7
01/16 19,0.0,314.1,396.9
01/16 20,0.0,293.7,350.5
01/16 21,0.0,279.5,300.3
01/16 22,0.0,271.1,330.9
01/16 23,0.0,257.7,276.8
01/17 00,0.0,248.9,267.4
01/17 01,0.0,244.1,262.2
01/17 02,0.0,236.8,254.4
01/17 03,0.0,238.1,255.8
01/17 04,0.0,234.1,251.5
01/17 05,2.1,253.1,271.8
01/17 06,11.12,284.0,305.1
01/17 07,27.73,258.9,278.0
01/17 08,44.05,264.3,283.9
01/17 09,55.65,285.1,306.2
01/17 10,64.08,292.6,314.3
01/17 11,67.1,296.1,318.1
01/17 12,65.4,285.1,306.3
01/17 13,60.48,274.1,294.4
01/17 14,50.25,261.3,280.7
01/17 15,35.14,258.7,286.4
01/17 16,18.57,255.9,319.6
01/17 17,6.21,255.5,274.4
01/17 18,0.87,273.1,293.3
01/17 19,0.0,309.8,346.7
01/17 20,0.0,285.9,333.8
01/17 21,0.0,269.4,289.3
01/17 22,0.0,262.3,293.5
01/17 23,0.0,252.3,294.6
01/18 00,0.0,238.5,256.1
01/18 01,0.0,241.9,259.9
01/18 02,0.0,240.3,258.1
01/18 03,0.0,239.4,257.1
01/18 04,0.0,233.1,250.3
01/18 05,2.23,253.3,272.1
01/18 06,11.44,266.5,286.3
01/18 07,27.86,209.3,224.8
01/18 08,45.86,225.2,241.9
01/18 09,60.2,277.7,298.2
01/18 10,69.32,254.4,273.3
01/18 11,73.08,265.3,284.9
01/18 12,70.62,284.2,305.3
01/18 13,64.23,285.6,306.8
01/18 14,54.16,266.0,285.8
01/18 15,38.46,257.5,276.6
01/18 16,19.67,248.8,267.2
01/18 17,5.88,248.8,300.3
01/18 18,0.9,270.9,342.4
01/18 19,0.0,307.5,375.3
01/18 20,0.0,289.1,341.2
